name,usage
AABRAHAM,Finnish
AADA,Finnish
AADAN,Eastern African
AADAN,Somali
AADOLF,Finnish
AAFJE,Dutch
AAGE,Danish
AAGE,Norwegian
AALI,Arabic
AALIS,Medieval French
AALIYAH,Arabic
AALIYAH,English
AAMADU,Western African
AAMADU,Fula
AAMINA,Arabic
AAMINA,Eastern African
AAMINA,Somali
AAMINAH,Arabic
AAMINATA,Western African
AAMINATA,Fula
'AAMIR,Arabic
AAMIR ,Arabic
AAMIR ,Urdu
AAMIR ,Arabic
AAMU,Finnish
AANG,Popular Culture
AAPELI,Finnish
AAPO,Finnish
AAREN,English
AARNE,Finnish
AARNE,Estonian
AARO,Finnish
AARO,Estonian
AARÓN,Spanish
AARÓN,Biblical Spanish
AARON,English
AARON,French
AARON,German
AARON,Finnish
AARON,Jewish
AARON,Biblical
AARON,Biblical Latin
AARON,Biblical Greek
AART,Dutch
AARTHI,Tamil
AARTI,Indian
AARTI,Hindi
AARTI,Marathi
AASE,Danish
AASE,Norwegian
AATAMI,Finnish
AATOS,Finnish
AATTO,Finnish
AATU,Finnish
AAVA,Finnish
ABACUC,Biblical Latin
ABADDON,Biblical
ABBÁN,Irish
'ABBAS,Arabic
'ABBAS,Persian
ABBAS,Arabic
ABBAS,Persian
ABBAS,Urdu
ABBE,Frisian
ABBEY,English
ABBI,English
ABBIE,English
ABBY,English
ABD AL-AZIZ,Arabic
ABD AL-HAMID,Arabic
ABD AL-KADER,Arabic
ABD AL-KARIM,Arabic
ABD ALLAH,Arabic
ABD AL-LATIF,Arabic
ABD AL-MAJID,Arabic
ABD AL-MALIK,Arabic
ABD AL-QADIR,Arabic
ABD AL-RAHIM,Arabic
ABD AL-RAHMAN,Arabic
ABD AL-RASHID,Arabic
ABD AL-WALI,Arabic
ABD AR-RAHMAN,Arabic
ABDELAZIZ,Arabic
ABDELHAMID,Arabic
ABDELKADER,Arabic
ABDELLATIF,Arabic
ABDELMAJID,Arabic
ABDERRAHIM,Arabic
ABDERRAHMANE,Arabic
ABDIAS,Biblical Latin
ABDIEL,Biblical
ABDIOU,Biblical Greek
ABDOLHOSSEIN,Persian
ABDOLLAH,Persian
ABDOLREZA,Persian
ABDOU,Western African
ABDOU,Northern African
ABDOUL,Western African
ABDOULAYE,Western African
ABDUH,Arabic
ABDUL,Arabic
ABDUL,Urdu
ABDUL,Punjabi
ABDUL,Pashto
ABDUL,Uzbek
ABDUL,Bengali
ABDUL,Indonesian
ABDUL,Malay
ABDULAH,Bosnian
ABDUL-AZIZ,Arabic
ABDUL-HAMID,Arabic
ABDÜLHAMIT,Turkish
ABDÜLKADIR,Turkish
ABDÜLKERIM,Turkish
ABDULLA,Uzbek
ABDULLA,Azerbaijani
ABDULLA,Dhivehi
ABDULLA,Uyghur
ABDULLA,Arabic
ABDULLAAHI,Western African
ABDULLAAHI,Fula
ABDULLAH,Arabic
ABDULLAH,Turkish
ABDULLAH,Malay
ABDULLAH,Indonesian
ABDÜLLATIF,Turkish
ABDULLO,Tajik
ABDULLO,Uzbek
ABDULLOHI,Tajik
ABDUL-RAHMAN,Arabic
ABDUL-RAHMAN,Malay
ABDURAKHMAN,Chechen
ABDUR-RAHIM,Arabic
ABDUR-RAHMAN,Arabic
ABDUR-RASHID,Arabic
ABDUWELI,Uyghur
ABE ,English
ABE ,Frisian
ABE ,Dutch
ABEBA,Eastern African
ABEBA,Amharic
ABEDNEGO,Biblical
ABEGAIL,English
ÁBEL,Hungarian
ABEL,English
ABEL,French
ABEL,Spanish
ABEL,Portuguese
ABEL,Georgian
ABEL,Biblical
ABEL,Biblical Latin
ABEL,Biblical Greek
ABELE,Italian
ABELONE,Danish
ABENA,Western African
ABENA,Akan
ABENE,Basque
ABENI,Western African
ABENI,Yoruba
ABENNER,Biblical Greek
ABERASH,Eastern African
ABERASH,Amharic
ABESSA,Biblical Greek
ABESSALOM,Biblical Greek
ABHA,Indian
ABHA,Hindi
ABHAY,Indian
ABHAY,Hindi
ABHAY,Marathi
ABHIJEET,Indian
ABHIJEET,Hindi
ABHIJEET,Marathi
ABHIJEET,Bengali
ABHIJIT,Indian
ABHIJIT,Hindi
ABHIJIT,Marathi
ABHIJIT,Bengali
ABHILASH,Indian
ABHILASH,Malayalam
ABHILASH,Hindi
ABHILASHA,Indian
ABHILASHA,Hindi
ABHINAV,Indian
ABHINAV,Hindi
ABHINAV,Marathi
ABHINAV,Kannada
ABHINAV,Telugu
ABHISHEK,Indian
ABHISHEK,Hindi
ABHISHEK,Marathi
ABHISHEK,Gujarati
ABHISHEK,Punjabi
ABHISHEK,Bengali
ABHISHEK,Kannada
ABHISHEK,Telugu
ABHISHEK,Malayalam
ABHISHEK,Tamil
ABI,Scottish
ABIA,Biblical Latin
ABIA,Biblical Greek
ABIAH,Biblical
ABIATHAR,Biblical
ABIDAN,Biblical
ABIDAN,Biblical Latin
ABIDAN,Biblical Greek
ABIDEMI,Western African
ABIDEMI,Yoruba
ABIEL,Biblical
ABIGAIA,Biblical Greek
ABIGAÍL,Spanish
ABIGAÏL,Biblical French
ABIGAIL,English
ABIGAIL,Biblical
ABIGAIL,Biblical German
ABIGAIL,Biblical Italian
ABIGAIL,Biblical Latin
ABIGAYLE,English
ABIGÉL,Hungarian
ABIHU,Biblical
ABIJAH,Biblical
ABILENE,English
ABÍLIO,Portuguese
ABILIO,Spanish
ABIMAEL,Biblical
ABIMBOLA,Western African
ABIMBOLA,Yoruba
ABIMELECH,Biblical
ABIODUN,Western African
ABIODUN,Yoruba
ABIOYE,Western African
ABIOYE,Yoruba
ABIRAM,Biblical
ABISAI,Biblical Latin
ABISHAG,Biblical
ABISHAI,Biblical
ABITAL,Biblical
'ABLA,Arabic
ABNER,English
ABNER,Biblical
ABNER,Biblical Latin
ABOLFAZL,Persian
ABOSEDE,Western African
ABOSEDE,Yoruba
ABOUBACAR,Western African
ABRAAM,Biblical Greek
ABRAAM,Georgian
ABRAÃO,Portuguese
ÁBRAHÁM,Hungarian
ABRAHAM,English
ABRAHAM,Hebrew
ABRAHAM,Spanish
ABRAHAM,French
ABRAHAM,Dutch
ABRAHAM,German
ABRAHAM,Swedish
ABRAHAM,Norwegian
ABRAHAM,Danish
ABRAHAM,Biblical
ABRAHAM,Biblical Latin
ABRAM ,English
ABRAM ,Biblical
ABRAM ,Russian
ABRAM ,Georgian
ABRAMO,Italian
ABRAR,Arabic
ABRAR,Urdu
ABRASHA,Russian
ABRIL,Spanish
ABRIL,Catalan
ABSALOM,Biblical
ABSALOM,Biblical Latin
ABU,Arabic
ABU AL-FADL,Arabic
ABUBAKAR,Western African
ABUBAKAR,Hausa
ABUBAKAR,Fula
ABU BAKR,Arabic
ABUL-FAZL,Arabic
ACA,Serbian
ACA,Macedonian
ACACIA,English
ACACIUS,Ancient Greek
ACANTHA,Greek Mythology
ACE ,English
ACE ,Macedonian
ACHAAB,Biblical Greek
ACHAB,Biblical Latin
ACHAICUS,Biblical
ACHAICUS,Biblical Latin
ACHAIKOS,Biblical Greek
ACHAIKOS,Ancient Greek
ACHAN,Biblical
ACHARD,Old Norman
'ACH'AV,Biblical Hebrew
ACHELOIOS,Greek Mythology
ACHELOUS,Greek Mythology
ACHIENG,Eastern African
ACHIENG,Luo
ACHILLE,French
ACHILLE,Italian
ACHILLEAS,Greek
ACHILLES,Greek Mythology
ACHILLES,Ancient Greek
ACHILLEUS,Greek Mythology
ACHILLEUS,Ancient Greek
ACHIM ,German
ACHIM ,Biblical
ACHINOAM,Biblical Hebrew
ACHINOAM,Hebrew
ACKE,Swedish
ACO,Macedonian
ACO,Serbian
AD,Dutch
AD,Limburgish
ADA,English
ADA,German
ADA,Polish
ADA,Hungarian
ADA,Italian
ADA,Finnish
ADA,Ancient Germanic
ADAD,Semitic Mythology
ADAD-NIRARI,Ancient Assyrian
ADAEZE,Western African
ADAEZE,Igbo
ADAH,Biblical
ADAIR,English
ADALBERHT,Ancient Germanic
ADALBERN,Ancient Germanic
ADALBERT,Ancient Germanic
ADALBERT,German
ADALBERTO,Italian
ADALBERTO,Spanish
ADALBERTO,Portuguese
ADALET,Turkish
ADALFARUS,Ancient Germanic
ADALFUNS,Ancient Germanic
ADALGARD,Ancient Germanic
ADALHARD,Ancient Germanic
ADALHEIDIS,Ancient Germanic
ADALIA,Biblical
ADALINE,English
ADALLINDIS,Ancient Germanic
ADALWIN,Ancient Germanic
ADALWOLF,Ancient Germanic
'ADALYA',Biblical Hebrew
ADALYN,English
ADALYNN,English
ÁDÁM,Hungarian
